IP,Time,Browser
10.81.192.105,11/Nov/2020:14:58:05,Safari
10.81.192.105,11/Nov/2020:14:58:29,Safari
10.81.192.105,11/Nov/2020:15:18:51,Safari
10.81.192.105,11/Nov/2020:15:19:07,Safari
10.81.192.105,11/Nov/2020:15:19:19,Safari
10.81.192.105,11/Nov/2020:15:19:51,Safari
10.81.192.105,11/Nov/2020:15:20:07,Safari
10.81.192.105,11/Nov/2020:15:20:59,Safari
10.81.192.105,11/Nov/2020:15:34:56,Safari
10.81.192.105,11/Nov/2020:15:35:08,Safari
10.81.192.105,11/Nov/2020:15:35:11,Safari
10.81.192.105,11/Nov/2020:15:39:19,Safari
10.81.192.105,11/Nov/2020:15:39:21,Safari
10.81.192.105,11/Nov/2020:15:39:35,Safari
10.81.192.105,11/Nov/2020:15:41:25,Safari
10.81.192.105,11/Nov/2020:15:43:00,Safari
10.81.192.105,11/Nov/2020:15:45:52,Safari
10.81.192.105,11/Nov/2020:15:46:39,Safari
10.81.192.105,11/Nov/2020:15:47:15,Safari
10.81.192.105,11/Nov/2020:15:49:17,Safari
10.81.192.105,11/Nov/2020:15:49:19,Safari
